"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"0","None","","","2002-01","","","JB-13","","","","","29 May 2002","","","Co-Op News Bulletins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Co-Coordinator Shani Pearson Seton Annex 3A","","","","","None","","","Summer 1999 to Winter 2000","","","","None","","","","","Co-operative Education","","","",""
"1","None","","","2002-02","","","IC-16","","","","","June 10, 2002","","","Library Award Papers 2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library, Terrence Paris, Head Librarian","","","","","None","","","2001","","","","None","","","","","Library","","","",""
"2","RESTRICTED - consult Secretary of Senate","","","2002-03","","","Unit A, Bay 3, Shelf 6","","","","","July 23, 2002","","","Senate Executive: Correspondence; agendas; meetings, background material 1991-1992 (31 Folders), includes some copies of Senate minutes for 1991 and 1992)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Senate Office, Wendy Johnson","","","","","None","","","1991-1992","","","","None","","","","","Senate","","","",""
"3","None","","","2002-04","","","Artifacts Cabinet #3","","","","","2002","","","Silver medal of excellence given to Annette Theriault of MSVU by the Premier of New Brunswick in 1939.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1939","","","","None","","","","","Annette Theriault","","","",""
"4","None","","","2002-05","","","EB under Nevo, Denise","","","","","2002","","","Bulletin/Newsletter of the Canadian Association of Translation Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","2002","","","","None","","","","","Faculty Writings","","","",""
"5","None","","","2002-06","","","Unit A, Bay 1, Shelf 1 is location of Timetable
Constitution moved to MSVU Publications shelf, publications box 1","","","","","18 September 2002","","","Constitution of the Student Government Association and a timetable from the 1940s belonging to Patsy MacIntyre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dr. Jane Gordon","","","","","None","","","1940s","","","","Patsy MacIntyre attended the Mount for one year in approximately 1940, possibly taking the Secretarial degree.  She was from Moncton, NB.","","","","","None","","","",""
"6","None","","","2002-07","","","Unit B, Bay 3, Shelf 5","","","","","2002","","","Two copies of ""Proposal re Changes to Bachelor of Education and Certificate Programs"" and Proposal re Changes to Graduate Education Programs""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Education","","","","","None","","","30 May 1995","","","","Was in box JA-15","","","","","Education","","","",""
"7","None","","","2002-08","","","Unit E, Bay 4, Shelf 7","","","","","2002","","","""Discussion Paper"" of the Distance Education Stakeholders Forum held at Nova Scotia Agricultural College, Truro, Nova Scotia,  May 27 and 28, 2002, by Bonnie Waddell, Chair, Novanet Distance Education Working Group, Marnie Macgillivray the member from teh Mount.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Novanet Distance Education Working Group","Mount Saint Vincent University Library","","","1 file","","","May 2002","","","","None","","","","","Library","","","",""
"8","Consult Senate Secretary or FOIPOP Officer","","","2002-09","","","Unit A, Bay 4, Shelf 2","","","","","2002","","","","Files from Senate including:","Library Committee, Minutes and agenda, 1991-1992","","","","","","","","","","","Nominations Committee, Minutes, 1970, 1990-1992","","","","","","","","","","","Research and Publications Committee, Minutes, 1989-1990 (possible dups)","","","","","","","","","","","Computer advisory Committee Minutes, 1990","","","","","","","","","","","Committee on Academic Policy and Planning, Minutes, 1991-1992","","","","","","","","","","","Executive Committee, Tributes Committee, 1991 Minutes and background documents, 1979-1983, 1996","","","","","","","Senate","","","","","None","","","1989-1992","","","","None","","","","","Senate","","","",""
"9","None","","","2002-10","","","Unit E, Bay 2, Shelf 6","","","","","December 2002","","","Publication of the E. Margaret Fulton Lectures:  opening of EMF Centre): The Making of the Educated Class by Thelma McCormack; Canadian Universities and the Poor Countries: Beyond Partnership by Maureen O'Neil; The Unique contributions of Canada's Small Universities by Paul Leduc; and The Woman's Voice in the Library: toward a New Communications Centre by E. Margaret Fulton.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","4 folders","","","1989","","","","FC-31","","","","","E. Margaret Fulton Lectures","","","",""
